fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Revolving fund FY23 spending limits,Revolving Fund / FY23 Spending Limit,140,"Each revolving fund re-authorised at Annual Town Meeting under MGL c.44 s.53E1/2, with its FY2023 spending limit.",One revolving fund.,Revolving Fund | FY23 Spending Limit,"Two-column table inside the town meeting excerpts, one fund per line, clean.",,9,clean,"Ambulance Billing $100,000; Timber Rights $10,000; School Custodial Special Details $13,000; Green Thumb $5,000; Library Revolving $12,000; Council on Aging/MART Revolving $45,000; Stormwater Task Force $5,000; Electrical, Gas, Plumbing Inspector Revolving $46,000; Technology Revolving $30,000. IDENTICAL in every amount to the FY22 list in the FY2021 report - the limits did not move at all between years.",fund limits revolving spending
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"FY 2023 Omnibus Budget (as voted, Annual Town Meeting 7 May 2022)",FY 2023 Omnibus Budget,146-149,"The operating budget as voted line by line: numbered budget lines from maturing debt through unclassified, general government, protection, health and sanitation, DPW, public assistance, schools and library, with departmental subtotals.","One numbered budget line, with subtotal and total rows interspersed.",Line No. | Account | VOTED FY 2023,"Three-column table over four pages; clean text layer, one line per row.","Total Omnibus $41,568,744.92. Subtotals printed: Total Maturing Debt $4,497,723.35; Total Gen Govt. Unclassified $3,378,711.07; Subtotal C.O.A. $183,629.08; Subtotal Veterans $110,775.00; Total Assistance $294,404.08; Total Schools $23,397,371.00 (School Department $22,325,309.00, Curriculum Update $17,686.00, Monty Tech Assessment $1,054,376.00); Total Library $492,983.92.",85,clean,"The cleanest voted-budget table in either document, and the direct successor to the FY2022 Omnibus in the FY2021 report (total $39,864,898.81) - so the two reports together give a two-year voted-budget series, line number by line number. The line numbering scheme (1, 2, 3, 3A, 3B, 4...79, 79A, 79B, 80, 81, 82) is stable across both years, which makes the join reliable. FY2023 total is 4.3% above FY2022.",budget may meeting omnibus
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Salary schedule (Chapter 70 s.70-8.a Salary Administration Plan) for FY 2023,"Article 21: Amendment to the Salary Schedule in Chapter 70, s 70-8.a, the Salary Administration Plan of the General Bylaws for FY 2023",152,"The Town's non-union wage grid: hourly rate for each of twenty grades at each of eight steps, as voted at Annual Town Meeting.",One grade (row) x one step (column).,GRADE | STEP 1 | STEP 2 | STEP 3 | STEP 4 | STEP 5 | STEP 6 | STEP 7 | STEP 8,"Nine-column grid, one grade per line, perfectly clean.",,20,clean,"The whole 20x8 grid is intact: Grade 1 runs $14.25 to $17.53, Grade 20 runs $58.23 to $71.62. Printed rule below it: 'Employees hired between January 1st and June 30th are not eligible for a step increase until the following calendar year on July 1. Employees receive a step increase each year until they reach the 8th Step.' The vote is recorded as (Yes-142, No-4). FY2021 has NO salary schedule table - the 2021 town meeting only reclassified individual positions into grades. This is a significant year-to-year difference.",administration chapter plan salary
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Paid vacation accrual schedule,After Completion of: / Hours of Paid Vacation (Based on 40 hour week),158-159,"Hours of paid vacation earned at each length of continuous service, from under a year to twenty-plus years.",One service-length band.,After Completion of: | Hours of Paid Vacation (Based on 40 hour week),"Two-column table inside the reprinted Salary Administration Plan bylaw, clean.",,15,clean,"8 hours per full calendar month up to 80 in the first year; 80 hours after 1 year; 120 after 5; 160 after 10, then +4 hours per additional year (164 at 11 years, 168 at 12, ... 196 at 19). Part of a bylaw amendment printed with additions underlined and deletions struck through - the extract loses that formatting, so what is CURRENT versus PROPOSED text cannot be told apart without the source pages.",accrual paid vacation
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"Salary Administration Plan bylaw (full reprinted text, ATM Article 22)",5/7/22 ATM Article 22: Salary Administration Plan Bylaw Amendments,153-164,"The complete text of Chapter 70 of the Town's general bylaws as amended: Personnel Committee, classification, pay periods, overtime, vacation, holidays, sick leave, personal leave, bereavement, military leave, discipline steps, and definitions of employee categories.",One bylaw section.,,"Twelve pages of legal text with embedded schedules (vacation hours, sick-leave buyback percentages, disciplinary steps).",,30,messy,"Not a table but it CONTAINS several: the vacation accrual schedule (p158-159), sick-leave buyback percentages by service length ('10 years continuous service 10%; 15 years continuous service 50%; 25 years continuous service 75%', p160), the progressive discipline steps (p163), and the part-time proration formula worked example (p163). Twelve pages of a personnel bylaw in an annual town report is unexpected and is the single largest non-financial block in the document.",administration article atm bylaw
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"Annual Town Election official tally sheet, 21 May 2022","OFFICIAL TALLY SHEET / ANNUAL TOWN ELECTION / LUNENBURG, MASSACHUSETTS / Saturday, May 21, 2022",174-177,"For every town office on the ballot, the vote for each candidate, all others and blanks, broken out by precinct with a total column; preceded by registered voters and ballots cast per precinct.",One candidate (or ALL OTHERS / BLANKS / TOTAL) x one precinct.,PRECINCT | A | B | C | D | TOTAL,"Per-office blocks stacked down four pages, one row per line, clean text layer.","TOTAL REGISTERED VOTERS 2098 / 2300 / 2201 / 2301 / 8903. BALLOTS CAST (PER BALLOT BOX) 52 / 28 / 29 / 68 / 177. Each office block prints its own TOTAL row (177 for a vote-for-1 office, 354 for a vote-for-2). '**' marks the elected candidate.",70,clean,"TURNOUT WAS 177 BALLOTS OUT OF 8,903 REGISTERED VOTERS - about 2%. Every race was uncontested. Offices: Select Board (3yr, vote for 2; 1yr, vote for 1), Sewer Commissioner, Board of Health, Town Clerk, Constable, School Committee (3yr vote for 2; 2yr vote for 1), Park Commissioner, Commissioner of Trust Funds (3yr and 2yr), Cemetery Commissioner, Library Trustee, Planning Board, Housing Authority. TWO DATA DEFECTS TO NOTE: the School Committee 2-year block is printed TWICE, once on p175 (spelling the candidate 'ANTHONY FRANKSCULIMBRENE II') and again on p176 ('ANTHONY FRANK SCULIMBRENE II') with identical vote counts; and the Planning Board block shows the elected candidate 'AMANDA REID' with 2 votes against 13 all-others and 162 blanks, which suggests she was a write-in whose name was not on the ballot.",election may official sheet
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"State Primary Election results, 6 September 2022","STATE PRIMARY ELECTION / TUESDAY, SEPTEMBER 6, 2022",178-181,"Democratic and Republican primary results for every state and federal office, by precinct.",One candidate (or Write-ins / Blanks / TOTAL) x one precinct.,PREC A | PRE B1 | PREC B | PRE C1 | PREC C | PREC D | TOTAL,"Per-office blocks, one row per line, clean.",TOTAL REGISTERED VOTERS 2119 / 93 / 2196 / 23 / 2207 / 2327 / 8965. BALLOTS CAST 537 / 22 / 466 / 4 / 508 / 587 / 2124. Democratic party total 1199 per office.,120,clean,"SIX precinct columns, not four: A, B1, B, C1, C, D. B1 and C1 are sub-precincts created because Lunenburg is split between the 1st Middlesex and 3rd Worcester House districts - which is why the two Representative in General Court blocks each have blanks in the columns that do not belong to their district. FY2021's report has no state primary or state election at all (2021 was an off year), so this is a FY2022-only structure.",election primary results september
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"State Election results and ballot questions, 8 November 2022","STATE ELECTION / TUESDAY, NOVEMBER 8, 2022",182-184,"General election results for every state and federal office by precinct, plus the four statewide ballot questions.",One candidate or ballot-question option x one precinct.,PREC A | PRE B1 | PREC B | PRE C1 | PREC C | PREC D | TOTAL,"Per-office blocks, one row per line, clean.",TOTAL REGISTERED VOTERS 2134 / 93 / 2241 / 23 / 2201 / 2349 / 9041. TOTAL BALLOTS CAST 1333 / 64 / 1194 / 10 / 1278 / 1456 / 5335. Every office block totals 5335.,100,clean,"Turnout 5,335 of 9,041 (59%) - thirty times the town election's turnout six months earlier. Ballot questions are on p184: QUESTION 1 (Additional State Income Tax, the 'millionaires tax') YES 2439 / NO 2707 / Blanks 189 - Lunenburg voted it down while the state passed it. Page 184 also narrates the 1st Middlesex Representative RECOUNT held on 10 December 2022 in the Passios Building cafeteria, decided by seven votes district-wide. Note Lunenburg's own preference (Shepherd) lost the district.",ballot election november questions
2022,FY2022,4129-fy-2022-annual-town-report.pdf,"Town and school employee gross wages, calendar year 2022",Calendar Year 2022 Gross Wages,186-192,"Every person paid by the Town or the school district in calendar 2022 with their gross wages, alphabetical by surname.",One employee.,(surname) | (forename) | (a second column - overtime or detail pay) | (gross wages),"Multi-column alphabetical listing across seven pages. This is the WORST-extracted table in either document: surnames come out on one set of lines, amounts on a completely different set, forenames are almost entirely absent, and the counts do not correspond.",,600,not without geometry,"Materially WORSE than FY2021's equivalent, which at least kept surnames, forenames and amounts as parallel order-aligned lines. Here p186 yields eight lines total for a full page of names. There is clearly a second money column (small values like 60.00, 0.01, 55.00 appear beside large gross figures), which is probably overtime or police detail pay, but it cannot be separated from base wages without the source geometry. Do not attempt extraction from the text.",calendar employee gross school
2022,FY2022,4129-fy-2022-annual-town-report.pdf,Town office hours and telephone directory,TOWN OFFICES / HOURS / PHONE#,193,Every town department with its public opening hours and phone number.,One department.,TOWN OFFICES | HOURS | PHONE#,"Three-column directory; the text layer partly interleaves hours with the wrong department, so the row alignment is imperfect.",,30,messy,New departments versus FY2021's directory: FACILITIES DEPT. (created by the FY2022 DPW reorganisation voted under Article 7) and PARKS & RECREATION DEPT. with an out-of-area 508 number.,directory hours office telephone
2023,FY2023,4131-fy-2023-annual-town-report.pdf,Table of contents,TABLE OF CONTENTS,4-5,"The report's own index, section by section, with the page number it claims for each report. It is the only place the town names its own financial schedules.",one report/section,(section/report name) | page,"two pages, single column of dot-leader entries; grouped under all-caps section banners (ADMINISTRATION, TOWN SERVICES, PROTECTION OF PERSONS & PROPERTY, PLANNING, EDUCATION, TOWN CLERK, MISCELLANEOUS INFORMATION)",,55,messy,"The page numbers in it DRIFT and some labels are wrong. It lists 'General Funds Revenue Chart 25' and 'FY 2022 Receipts 26' but on the actual pages 25 is the FY2023 receipts table and 26 is the pie chart — reversed, and the receipts are FY2023, not FY2022. It lists the election at 174 (actually 186) and General Fund Appropriations at 28 (actually starts 27). Several entries read 'No Report Submitted' with no page (Agricultural Commission, Architectural Preservation District Commission, Green Communities, Historical Commission, Housing Authority).",contents
